500;Lundi;Lunes
501;Mardi;Martes
502;Mercredi;Miércoles
503;Jeudi;Jueves
504;Vendredi;Viernes
505;Samedi;Sábado
506;Dimanche;Domingo
507;Janvier;Enero
508;Février;Febrero
509;Mars;Marzo
510;Avril;Abril
511;Mai;Mayo
512;Juin;Junio
513;Juillet;Julio
514;Août;Agosto
515;Septembre;Septiembre
516;Octobre;Octubre
517;Novembre;Noviembre
518;Décembre;Diciembre
519;L'hiver;El invierno
520;Le printemps;La primavera
521;L'été;El verano
522;L'automne;El otoño
523;Une heure;Una hora
524;Un jour;Un día
525;Une semaine;Una semana
526;Un mois;Un mes
527;Une année;Un año
528;Une seconde;Un segundo
529;Un siècle;Un siglo
530;Une décennie;Una década
531;Un millénaire;Un milenio
532;Une éternité;Una eternidad
533;Bientôt;Pronto
534;Demain;Mañana
535;Dans une heure;En una hora
536;La semaine prochaine;La próxima semana
537;L'année prochaine;El próximo año
538;Le matin;La mañana
539;L'après-midi;La tarde
540;La nuit;La noche
541;L'aube;La madrugada (el amanecer)
542;Quelle heure est-il ?;¿qué hora es?
543;Et demie (pour l'heure);Y media
544;Et quart (pour l'heure);Y cuarto
545;Une minute;Un minuto
546;Il est midi;Es mediodía
547;Il est minuit;Es medianoche
548;Il est neuf heure moins le quart;Son las nueve menos cuarto
549;Il est une heure pile;Es la una en punto
